Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;MT;0.053537168;0.053537168;0.052156593;0.057098118;0.039333301;0.042112368;0.03845951;0.007270498;0.007270498;0.007270498;0.007270498;0.007270498
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;GO;0.029898677;0.029898677;0.027154428;0.02763197;0.020192251;0.017995403;0.013133233;0.003298166;0.003298166;0.003298166;0.003298166;0.003298166
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;DF;0.000511904;0.000511904;0.000474766;0.000360081;0.000286283;0.000275677;0.000199422;5.00814E-05;5.00814E-05;5.00814E-05;5.00814E-05;5.00814E-05
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;RO;0.017283018;0.017283018;0.019198381;0.023361757;0.022450431;0.026937339;0.030926349;0.036121297;0.036121297;0.036121297;0.036121297;0.036121297
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;AC;0.002190083;0.002190083;0.002268981;0.002470523;0.001679129;0.002534203;0.003856727;0.007081639;0.007081639;0.007081639;0.007081639;0.007081639
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;AM;0.001603622;0.001603622;0.001916055;0.002728237;0.00290284;0.003951084;0.006450946;0.013537888;0.013537888;0.013537888;0.013537888;0.013537888
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;RR;0.001080308;0.001080308;0.00126397;0.001452172;0.001623379;0.001894774;0.002236784;0.003698492;0.003698492;0.003698492;0.003698492;0.003698492
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;PA;0.034134493;0.034134493;0.040359081;0.046992412;0.049346719;0.050624081;0.059192022;0.077038149;0.077038149;0.077038149;0.077038149;0.077038149
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;AP;8.08328E-05;8.08328E-05;8.80143E-05;0.0001159;9.81184E-05;6.29415E-05;7.72122E-05;0.000203956;0.000203956;0.000203956;0.000203956;0.000203956
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;TO;0.01576689;0.01576689;0.016876204;0.018170758;0.01994193;0.020179333;0.021485751;0.022086152;0.022086152;0.022086152;0.022086152;0.022086152
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;MA;0.014061499;0.014061499;0.015676189;0.018055471;0.019782229;0.018749148;0.022114091;0.02769071;0.02769071;0.02769071;0.02769071;0.02769071
